Product,Image,Brand,Processor,RAM,Hard disk,SSD,Graphic card,Operating system,Resolution,Dimensions(mm),Weight(kg),Battery life,Price
"Asus X540SA-XX366D Laptop (DOS, 4GB RAM, Intel Celeron, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205945_635_x540sa-xx366d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Celeron Dual Core 6th Gen N3060,4GB,500GB,No,Intel Integrated HD Graphics,DOS,1366x768 pixels,381.00 x 252.00 x 25.40,2.0,4.5,"₹ 18,999"
"HP 15-AY554TU Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455157_635_hp_pavilion-15-ay554tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 6th Gen 6200U,4GB,No,No,Intel Integrated HD Graphics 520,Windows 10 Home,1920x1080 pixels,384.30 x 254.60 x 24.30,2.9,4.5,"₹ 36,500"
"Acer Aspire E E5-551G Laptop (Linux, 8GB RAM, 1000GB HDD, AMD Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525203896_635_aspire-e-15-e5-551g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,AMD APU Quad Core A10 5th Gen A10 7300,8GB,1TB,No,AMD Radeon R7 M265,Linux,1366x768 pixels,381.60 x 256.00 x 30.30,2.5,7.0,"₹ 35,800"
"HP Pavilion 15-AU114TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207809_635_pavilion-15-au114tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 7th Gen 7200U,8GB,1TB,No,Nvidia GeForce 940MX,Windows 10 Home,1366x768 pixels,383.00 x 243.00 x 22.50,2.0,9.0,"₹ 61,603"
"Acer Aspire E5-575G Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, 6th Gen, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205897_635_aspire-e-15-e5-575g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 6th Gen 7200U,4GB,1TB,No,Nvidia GeForce 940MX,Windows 10 Home,1366x768 pixels,381.60 x 259.00 x 30.20,2.2,8.0,"₹ 24,999"
"HP 15-AY508TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204407_635_15-ay508tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i3 5th Gen 5005U,8GB,1TB,No,AMD Radeon R5 M430,Windows 10 Home,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,5.0,"₹ 42,490"
"HP Pavilion 15-AU118TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",https://i.gadgets360cdn.com/products/laptops/large/1525207810_635_pavilion-15-au118tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i7 7th Gen 7500U,8GB,1TB,No,Intel Integrated HD Graphics 500,Windows 10 Home,1920x1080 pixels,383.00 x 243.00 x 22.50,2.0,9.0,"₹ 67,999"
"HP 15-AC045TU Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204262_635_15-ac045tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 5th Gen 5200U,4GB,1TB,No,Intel HD Graphics 5500,DOS,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,4.0,"₹ 38,400"
"HP 15-AC040TU Laptop (DOS, 4GB RAM, 500GB HDD, Intel Pentium, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204320_635_15-ac040tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Pentium Dual Core 5th Gen N3825U,4GB,500GB,No,Nvidia GeForce MX150,DOS,1366x768 pixels,384.30 x 254.60 x 24.30,2.14,4.0,"₹ 21,490"
"Asus X541UA-DM883D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205948_635_x541ua-dm883d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 6th Gen 6006U,4GB,1TB,No,Intel Integrated HD Graphics,DOS,1920x1080 pixels,381.00 x 252.00 x 25.40,2.0,5.0,"₹ 26,999"
"HP 15-BS576TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207868_635_15-bs576tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 7th Gen 7200U,8GB,1TB,No,AMD Radeon 520 Graphics,DOS,1920x1080 pixels,380.00 x 253.70 x 23.80,1.86,4.0,"₹ 42,950"
"Lenovo Yoga 510 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 14 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207905_635_yoga-510.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,Intel Core i5 7th Gen 6200U,4GB,1TB,128GB,Nvidia GeForce GTX 1060,Windows 10 Home,1366x768 pixels,336.00 x 235.00 x 19.30,1.75,8.5,"₹ 34,990"
